,lots-single,lots-10,pgd-single,pgd-10
base,0.141,0.7496,0.2315,0.8209
lots-single,0.0219,0.3356,0.0734,0.8298
lots-10,0.011,0.0722,0.0376,0.5937
lots-curriculum,0.0268,0.3226,0.0731,0.7481
lots-dynamic,0.0112,0.0683,0.0409,0.587
pgd-single,0.0194,0.3593,0.0203,0.8254
pgd-10,0.0046,0.0351,0.0044,0.0201
pgd-curriculum,0.0078,0.053,0.0268,0.2864
pgd-dynamic,0.0271,0.278,0.0794,0.6884
