,lots-single,lots-10,pgd-single,pgd-10
base,0.3993,0.4126,0.3049,0.1152
lots-single,1.0,0.6208,0.1973,0.0645
lots-10,0.364,1.0,0.148,0.0138
lots-curriculum,0.4558,0.545,0.2691,0.1521
lots-dynamic,0.3675,0.5848,0.1794,0.0323
pgd-single,0.3039,0.338,1.0,0.2765
pgd-10,0.2367,0.2262,0.139,1.0
pgd-curriculum,0.3781,0.428,0.1794,0.0783
pgd-dynamic,0.53,0.5566,0.287,0.0968
