,lots-single,lots-10,pgd-single,pgd-10
base,0.6131,0.0382,0.1139,0.0542
lots-single,0.9641,0.5518,0.7932,0.0869
lots-10,0.983,0.9135,0.8892,0.3609
lots-curriculum,0.9476,0.5408,0.7665,0.1297
lots-dynamic,0.981,0.9124,0.8763,0.3704
pgd-single,0.963,0.4994,0.9014,0.0647
pgd-10,0.9876,0.9475,0.982,0.9648
pgd-curriculum,0.9848,0.9269,0.9002,0.6299
pgd-dynamic,0.9449,0.6016,0.7352,0.1612
