,lots-single,lots-10,pgd-single,pgd-10
base,0.2889,0.2203,0.227,0.2071
lots-single,1.0,0.3225,0.4724,0.2046
lots-10,0.2068,1.0,0.2577,0.2793
lots-curriculum,0.1855,0.2792,0.2086,0.2114
lots-dynamic,0.1906,0.2471,0.2515,0.2462
pgd-single,0.2949,0.321,1.0,0.2105
pgd-10,0.2,0.1911,0.2147,1.0
pgd-curriculum,0.2,0.2456,0.2025,0.2606
pgd-dynamic,0.235,0.2884,0.2699,0.1723
