,lots-single,lots-10,pgd-single,pgd-10
base,0.2122,0.0497,0.0226,0.009
lots-single,0.7675,0.0045,0.5102,0.0
lots-10,0.9436,0.5643,0.7901,0.0023
lots-curriculum,0.8375,0.3747,0.3815,0.0451
lots-dynamic,0.8014,0.2912,0.3183,0.0519
pgd-single,0.7788,0.0068,0.8962,0.0068
pgd-10,0.9255,0.7878,0.8014,0.553
pgd-curriculum,0.9571,0.8984,0.8284,0.7743
pgd-dynamic,0.8691,0.079,0.7178,0.0135
